Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid
"Metrik",18126,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4766
"Linea Trawertyn 100x25x4cm",18127,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4767
"Palisada Hestra 100cm",18128,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4768
"Łącznik ogrodzeniowy ŁSO",18129,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4797
"Pustak murkowy GMD Joniec 38x38x16",18130,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4804
"Pustak słupkowy GUD+GAD Joniec 38x38x16",18131,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4809
"Pustak murkowy GMDM Joniec 38x38x8",18132,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4811
"ROMA Classic BRDM Joniec",18133,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4845
"ROMA Classic BRSM Joniec",18134,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4846
"ROMA Classic BRMM Joniec",18135,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4847
"Daszek CSBNR Joniec 45x28x6",18136,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4853
"Daszek CBG Joniec 24x28x6",18137,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4854
"Daszek CPGS Joniec 43x27x6",18138,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4857
"Daszek CPGM Joniec 50x27x6",18139,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4858
"Daszek ROMA CRDM Joniec 36x36x5",18140,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4908
"Daszek ROMA CRSM Joniec 50x20x20",18141,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4909
"Daszek ROMA CRMM Joniec",18142,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4910
"RIBENA 60x60x4 kolor",18143,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,5866
"Avanti - brązowy płukany",18144,POLBRUK,9.86,1.3,0.13184584178499,97.42,46.494,59,62,55.5,58.5,51.5,54.5,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6549
"Avanti - ciemnoszary płukany",18145,POLBRUK,9.86,1.3,0.13184584178499,97.42,46.494,59,62,55.5,58.5,51.5,54.5,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6550
"Avanti - czerwony płukany",18146,POLBRUK,9.86,1.3,0.13184584178499,97.42,46.494,59,62,55.5,58.5,51.5,54.5,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6551
"Avanti - grafitowy płukany",18147,POLBRUK,9.86,1.3,0.13184584178499,97.42,46.494,59,62,55.5,58.5,51.5,54.5,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6552
"Avanti - szary płukany",18148,POLBRUK,9.86,1.3,0.13184584178499,97.42,46.494,59,62,55.5,58.5,51.5,54.5,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6572
"Avanti - żółty płukany",18149,POLBRUK,9.86,1.3,0.13184584178499,97.42,46.494,59,62,55.5,58.5,51.5,54.5,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6573
"Multicomplex - latte",18150,POLBRUK,12,1.58,0.13166666666667,81.18,42.435,53.5,56,50.5,53,47,49.5,,0,,2021-12-23 00:00:00,,1.2,0,,1,1,6700
"Multicomplex - nerino",18151,POLBRUK,12,1.58,0.13166666666667,81.18,42.435,53.5,56,50.5,53,47,49.5,,0,,2021-12-23 00:00:00,,1.2,0,,1,1,6702
"Ideo - szary",18152,POLBRUK,11.88,1.56,0.13131313131313,63.47,30.75,39,41.5,37,39.5,34,36.5,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6713
"Ideo - grafitowy",18153,POLBRUK,11.88,1.56,0.13131313131313,67.9,33.21,42,44.5,40,42.5,37,39.5,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6714
"Ideo - hawaii",18154,POLBRUK,11.88,1.56,0.13131313131313,81.18,42.435,53.5,56,50.5,53,47,49.5,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6715
"Ideo - latte",18155,POLBRUK,11.88,1.56,0.13131313131313,81.18,42.435,53.5,56,50.5,53,47,49.5,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6717
"Ideo - nerino",18156,POLBRUK,11.88,1.56,0.13131313131313,81.18,42.435,53.5,56,50.5,53,47,49.5,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6718
"Ideo - onyx",18157,POLBRUK,11.88,1.56,0.13131313131313,81.18,42.435,53.5,56,50.5,53,47,49.5,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6719
"Ideo - bianka_d",18158,POLBRUK,11.88,1.56,0.13131313131313,97.42,46.494,59,61.5,55.5,58,51.5,54,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6720
"Ideo - ritmo_d",18159,POLBRUK,11.88,1.56,0.13131313131313,97.42,46.494,59,61.5,55.5,58,51.5,54,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6722
"Obrzeże Endo - brązowy",18160,POLBRUK,44,1.12,0.025454545454545,14.76,9.84,12.5,13.5,12,13,11,12,,0,,2021-12-23 00:00:00,,1,0,,1,,6728
