Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid,,
"Palisada MURO 35x11,5x15",711,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16855,,
Palisada MURO 35x13x15,712,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16856,,
Palisada MURO 115x13x15,713,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16857,,
"Palisada MURO 52x11,5x15",714,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16858,,
Palisada MURO 52x13x15,715,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16859,,
Palisada MURO 100x13x15,716,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16860,,
Palisada MURO 30x13x15,717,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16861,,
Palisada MURO 60x13x15,718,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16862,,
"Palisada MURO 30x13x22,5",719,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16863,,
"Palisada MURO 60x13x22,5",720,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16864,,
"Palisada MURO 115x13x22,5",721,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16865,,
"Palisada MURO 35x7,5x7,5",722,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16866,,
Ogrodzenie MURO 16 P22,723,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16867,,
Ogrodzenie MURO 16 S22,724,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16868,,
Ogrodzenie MURO 16 P38,725,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16869,,
Ogrodzenie MURO 16 S38,726,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16870,,
Ogrodzenie MURO 12 P22,727,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16871,,
Ogrodzenie MURO 12 S22,728,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16872,,
Ogrodzenie MURO 12 P38,729,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16873,,
Ogrodzenie MURO 12 S38,730,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16874,,
Ogrodzenie MURO 8 P22,731,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16875,,
Ogrodzenie MURO 8 S22,732,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16876,,
Ogrodzenie MURO 8 P38,733,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16877,,
Ogrodzenie MURO 8 S38,734,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16878,,
Płytka elewacyjna łupana 16,735,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16879,,
Płytka elewacyjna łupana 12,736,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16880,,
Płytka elewacyjna łupana 8,737,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16881,,
Bloczek dekoracyjny 19x13x15,738,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16882,,
"Bloczek dekoracyjny 19x13x7,5",739,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16883,,
Bloczek dekoracyjny 19x15x15,740,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16884,,
"Bloczek dekoracyjny 19x15x22,5",741,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16885,,
"Bloczek dekoracyjny 19x15x7,5",742,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16886,,
Bloczek dekoracyjny 32x13x15,743,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16887,,
"Bloczek dekoracyjny 32x13x7,5",744,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16888,,
Bloczek dekoracyjny 32x15x15,745,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16889,,
"Bloczek dekoracyjny 32x15x22,5",746,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16890,,
"Bloczek dekoracyjny 32x15x7,5",747,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16891,,
"Cegła łupana 11,5x23x7,5",748,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16892,,
Okapnik 2-stronnie łupany 100x31x7,749,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16893,,
Okapnik 4-stronnie łupany 46x31x7,750,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16894,,
Okapnik 4-stronnie łupany 84x23x7,751,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16895,,
Okapnik 4-stronnie łupany 84x31x7,752,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16896,,
Okapnik 4-stronnie łupany 84x46x7,753,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16897,,
Okapnik 2-stronnie łupany 98x23x7,754,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16898,,
Okapnik 2-stronnie łupany 98x46x7,755,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16899,,
Ogrodzenie SLIM 3D,756,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16900,,
Ogrodzenie SLIM,757,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16901,,
Ogrodzenie P25,758,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16902,,
Ogrodzenie P50,759,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16903,,
Ogrodzenie ROYAL S50,760,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16904,,
Ogrodzenie LONG 100x20x30,761,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16905,,
Daszek SLIM 3D,762,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16906,,
Daszek gładki ROYAL SLIM 60x25x12,763,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16907,,
Daszek ROYAL 50P,764,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16908,,
Daszek ROYAL 50S,765,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16909,,
Daszek LONG 100x20x10,766,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16910,,
Stopień gładki ROYAL 100x37x7,767,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16911,,
Stopień strukturalny ROYAL 120x35x15,768,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16912,,
Płyta tarasowa VISION-BET 40x40x4,769,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16913,,
Płyta tarasowa VISION-BET 60x60x4,770,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16914,,
Płyta tarasowa VISION-BET 80x40x4,771,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16915,,
Płyta tarasowa VISION-BET DESKA NATURO 100x20x6,772,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16916,,
RIBENA 40x40x4,773,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16917,,
RIBENA 60x40x4,774,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16919,,
Płyta tarasowa RIBENA 100x80x5,775,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16920,,
Płyta tarasowa RIBENA 80x80x5,776,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16921,,
RIBENA 60x60x4,777,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16922,,
RIBENA 80x40x4,778,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16923,,
RIBENA 80x60x4,779,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16924,,
RIBENA 80x40x8,780,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16925,,
SANIDA,781,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16926,,
TIRANO 80x60x4,782,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16927,,
TIRANO 60x30x4,783,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16928,,
TIRANO 80x80x5,784,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16929,,
TIRANO 100x80x5,785,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16930,,
TIRANO 60x40x4,786,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16931,,
TIRANO 40x40x4,787,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16932,,
TIRANO 80x40x4,788,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16933,,
TIRANO 60x60x4,789,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16934,,
DESKA NATURO STRUKTURA,790,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16935,,
Płyta tarasowa GRANO 60x30x4,791,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16937,,
Płyta tarasowa GRANO 80x60x4,792,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16938,,
Płyta tarasowa GRANO 60x40x4,793,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16940,,
GRANO 40x40x4,794,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16941,,
GRANO 80x40x4,795,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16942,,
GRANO 60x60x4,796,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16943,,
"LASTRO 60x60x3,6",797,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16944,,
Eko DECO,798,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16945,,
Obrzeże palisadowe Kwadrat,799,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16946,,
Obrzeże dekoracyjne ROYAL,800,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16947,,
Ogrodzenie MEDIUM 80x20x25,801,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16948,,
Daszek MEDIUM 80x20x8,802,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16949,,
Ażur duży 40x60x10,803,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16954,,
Krawężnik prosty 20x30x50 POŁÓWKI,804,KOST-BET,24,1.52,0.063333333333333,30,7,21,5,24.1,29.1,22.5,27.5,21.6,26.6,,0,,2021-12-23 00:00:00,,24,0,,1,,16955
Krawężnik skośny 22/30x15x100,805,KOST-BET,12,1.1,0.091666666666667,72,19,51,61,57.8,67.8,54,64,51.7,61.7,,0,,2021-12-23 00:00:00,,12,0,,1,,16956
Krawężnik skośny 22/30x20x100,806,KOST-BET,8,0.96,0.12,87,67,62,68,70.1,85.1,65.6,80.6,62.7,77.7,,0,,2021-12-23 00:00:00,,8,0,,1,,16957
DEKO 80x80x5 KOST-BET,807,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16958,,
DEKO 60x60x4 KOST-BET,808,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16959,,
MARMO 80x80x5,809,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16960,,
MARMO 100x80x5,810,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16961,,
NATURO 80x40x4 KOST-BET,811,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16962,,
PRIMO 100x80x5,812,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16963,,
PRIMO 80x80x5,813,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,16964,,
Daszek CH20 Joniec 50x20x5 - grafit_h,814,JONIEC,96,1.15,0.011979166666667,31,24,22,18,27.8,28.4,26.7,27.3,25.6,26.2,,0,,2021-12-23 00:00:00,,1,0,,1,,17161
Daszek CH20 Joniec 50x20x5 - marengo_h,815,JONIEC,96,1.15,0.011979166666667,31,24,22,18,27.8,28.4,26.7,27.3,25.6,26.2,,0,,2021-12-23 00:00:00,,1,0,,1,,17162
Daszek CH20 Joniec 50x20x5 - onyx_h,816,JONIEC,96,1.15,0.011979166666667,29,99,21,29,26.7,27.3,25.6,26.2,24.5,25.1,,0,,2021-12-23 00:00:00,,1,0,,1,,17163
Daszek CH20 Joniec 50x20x5 - piryt_h,817,JONIEC,96,1.15,0.011979166666667,31,24,22,18,27.8,28.4,26.7,27.3,25.6,26.2,,0,,2021-12-23 00:00:00,,1,0,,1,,17164
Daszek CH20 Joniec 50x20x5 - platinum_h,818,JONIEC,96,1.15,0.011979166666667,31,24,22,18,27.8,28.4,26.7,27.3,25.6,26.2,,0,,2021-12-23 00:00:00,,1,0,,1,,17165
Pustak BH28 Joniec 50x28x20 - grafit_h,819,JONIEC,40,1.1,0.0275,38,1,27,5,33.9,35.4,32.5,34,31.2,32.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17168
Pustak BH28 Joniec 50x28x20 - marengo_h,820,JONIEC,40,1.1,0.0275,38,1,27,5,33.9,35.4,32.5,34,31.2,32.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17169
Pustak BH28 Joniec 50x28x20 - onyx_h,821,JONIEC,40,1.1,0.0275,38,1,27,5,33.9,35.4,32.5,34,31.2,32.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17170
Pustak BH28 Joniec 50x28x20 - piryt_h,822,JONIEC,40,1.1,0.0275,38,1,27,5,33.9,35.4,32.5,34,31.2,32.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17171
Pustak BH28 Joniec 50x28x20 - platinum_h,823,JONIEC,40,1.1,0.0275,38,1,27,5,33.9,35.4,32.5,34,31.2,32.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17172
Roma Perfect CRP20 Joniec - beryl,824,JONIEC,60,1.4,0.023333333333333,37,49,26,62,32,33,30.7,31.7,29.3,30.3,,0,,2021-12-23 00:00:00,,1,0,,1,,17193
Roma Perfect CRP20 Joniec - dioryt,825,JONIEC,96,1.15,0.011979166666667,37,49,26,62,32,32.6,30.7,31.3,29.3,29.9,,0,,2021-12-23 00:00:00,,1,0,,1,,28419
Roma Perfect CRP20 Joniec - milos,826,JONIEC,96,1.15,0.011979166666667,37,49,26,62,32,32.6,30.7,31.3,29.3,29.9,,0,,2021-12-23 00:00:00,,1,0,,1,,28420
Roma Perfect CRP20 Joniec - morion,827,JONIEC,96,1.15,0.011979166666667,37,49,26,62,32,32.6,30.7,31.3,29.3,29.9,,0,,2021-12-23 00:00:00,,1,0,,1,,28421
Roma Perfect RP20 Joniec - beryl,828,JONIEC,60,1.4,0.023333333333333,35,71,25,35,30.5,31.5,29.2,30.2,27.9,28.9,,0,,2021-12-23 00:00:00,,1,0,,1,,17202
Roma Perfect RP20 Joniec - dioryt,829,JONIEC,60,1.4,0.023333333333333,37,79,26,83,32.2,33.2,30.9,31.9,29.6,30.6,,0,,2021-12-23 00:00:00,,1,0,,1,,28416
Roma Perfect RP20 Joniec - milos,830,JONIEC,60,1.4,0.023333333333333,37,79,26,83,32.2,33.2,30.9,31.9,29.6,30.6,,0,,2021-12-23 00:00:00,,1,0,,1,,28417
Roma Perfect RP20 Joniec - morion,831,JONIEC,60,1.4,0.023333333333333,37,79,26,83,32.2,33.2,30.9,31.9,29.6,30.6,,0,,2021-12-23 00:00:00,,1,0,,1,,28418
Daszek CH28 Joniec 50x28x5 - grafit_h,832,JONIEC,72,1.19,0.016527777777778,31,24,22,18,27.8,28.6,26.7,27.5,25.6,26.4,,0,,2021-12-23 00:00:00,,1,0,,1,,17211
Daszek CH28 Joniec 50x28x5 - marengo_h,833,JONIEC,72,1.19,0.016527777777778,31,24,22,18,27.8,28.6,26.7,27.5,25.6,26.4,,0,,2021-12-23 00:00:00,,1,0,,1,,17212
Daszek CH28 Joniec 50x28x5 - onyx_h,834,JONIEC,72,1.19,0.016527777777778,31,24,22,18,27.8,28.6,26.7,27.5,25.6,26.4,,0,,2021-12-23 00:00:00,,1,0,,1,,17213
Daszek CH28 Joniec 50x28x5 - piryt_h,835,JONIEC,72,1.19,0.016527777777778,31,24,22,18,27.8,28.6,26.7,27.5,25.6,26.4,,0,,2021-12-23 00:00:00,,1,0,,1,,17214
Daszek CH28 Joniec 50x28x5 - platinum_h,836,JONIEC,72,1.19,0.016527777777778,31,24,22,18,27.8,28.6,26.7,27.5,25.6,26.4,,0,,2021-12-23 00:00:00,,1,0,,1,,17215
"Tom T20N Joniec 19,5x39x19 - onyx łupany",837,JONIEC,60,1.14,0.019,18,13,12,87,16.1,17.1,15.5,16.5,14.9,15.9,,0,,2021-12-23 00:00:00,,1,0,,1,,17240
"Tom T20N Joniec 19,5x39x19 - stalowy łupany",838,JONIEC,60,1.14,0.019,15,59,11,7,13.9,14.9,13.3,14.3,12.8,13.8,,0,,2021-12-23 00:00:00,,1,0,,1,,17241
"Tom T20N Joniec 19,5x39x19 - piryt łupany",839,JONIEC,60,1.14,0.019,18,13,12,87,16.1,17.1,15.5,16.5,14.9,15.9,,0,,2021-12-23 00:00:00,,1,0,,1,,17243
"Tom T20N Joniec 19,5x39x19 - vera łupany",840,JONIEC,60,1.14,0.019,18,13,12,87,16.1,17.1,15.5,16.5,14.9,15.9,,0,,2021-12-23 00:00:00,,1,0,,1,,17244
"Tom T20 Joniec 19,5x39x19 - onyx łupany",841,JONIEC,60,1.08,0.018,15,59,11,7,13.3,14.3,12.8,13.8,12.2,13.2,,0,,2021-12-23 00:00:00,,1,0,,1,,17257
"Tom T20 Joniec 19,5x39x19 - stalowy łupany",842,JONIEC,60,1.08,0.018,13,26,9,41,11.8,12.8,11.3,12.3,10.9,11.9,,0,,2021-12-23 00:00:00,,1,0,,1,,17258
"Tom T20 Joniec 19,5x39x19 - piryt łupany",843,JONIEC,60,1.08,0.018,15,59,11,7,13.3,14.3,12.8,13.8,12.2,13.2,,0,,2021-12-23 00:00:00,,1,0,,1,,17260
"Tom T20 Joniec 19,5x39x19 - vera łupany",844,JONIEC,60,1.08,0.018,15,59,11,7,13.9,14.9,13.3,14.3,12.8,13.8,,0,,2021-12-23 00:00:00,,1,0,,1,,17261
Tom T10N Joniec - onyx łupany,845,JONIEC,120,1.16,0.0096666666666667,13,86,9,84,11.9,12.4,11.4,11.9,10.9,11.4,,0,,2021-12-23 00:00:00,,1,0,,1,,17263
Tom T10N Joniec - piryt łupany,846,JONIEC,120,1.16,0.0096666666666667,13,86,9,84,11.9,12.4,11.4,11.9,10.9,11.4,,0,,2021-12-23 00:00:00,,1,0,,1,,17265
Tom T10N Joniec - vera łupany,847,JONIEC,120,1.16,0.0096666666666667,13,86,9,84,11.9,12.4,11.4,11.9,10.9,11.4,,0,,2021-12-23 00:00:00,,1,0,,1,,17267
Tom T10N Joniec - stalowy łupany,848,JONIEC,120,1.16,0.0096666666666667,12,11,8,6,10.4,10.9,9.9,10.4,9.5,10,,0,,2021-12-23 00:00:00,,1,0,,1,,17268
"Tom T10 Joniec 9,5x39x19 - onyx łupany",849,JONIEC,120,1.44,0.012,11,53,8,19,9.9,10.4,9.5,10,9.1,9.6,,0,,2021-12-23 00:00:00,,1,0,,1,,17271
"Tom T10 Joniec 9,5x39x19 - stalowy łupany",850,JONIEC,120,1.44,0.012,10,37,7,36,8.9,9.4,8.5,9,8.1,8.6,,0,,2021-12-23 00:00:00,,1,0,,1,,17272
"Tom T10 Joniec 9,5x39x19 - piryt łupany",851,JONIEC,120,1.44,0.012,11,53,8,19,9.9,10.4,9.5,10,9.1,9.6,,0,,2021-12-23 00:00:00,,1,0,,1,,17274
"Tom T10 Joniec 9,5x39x19 - vera łupany",852,JONIEC,120,1.44,0.012,11,53,8,19,9.9,10.4,9.5,10,9.1,9.6,,0,,2021-12-23 00:00:00,,1,0,,1,,17275
Rio CR Joniec - onyx łupany,853,JONIEC,66,1.17,0.017727272727273,21,35,15,16,19,19.9,18.2,19.1,17.5,18.4,,0,,2021-12-23 00:00:00,,1,0,,1,,17288
Rio CR Joniec - piryt łupany,854,JONIEC,66,1.17,0.017727272727273,21,35,15,16,18.2,19.1,17.5,18.4,16.7,17.6,,0,,2021-12-23 00:00:00,,1,0,,1,,17289
Rio RIO20 Joniec - onyx łupany,855,JONIEC,40,1.28,0.032,24,82,17,62,21.2,22.7,20.3,21.8,19.4,20.9,,0,,2021-12-23 00:00:00,,1,0,,1,,17294
Rio RIO20 Joniec - piryt łupany,856,JONIEC,40,1.28,0.032,24,82,17,62,21.2,22.7,20.3,21.8,19.4,20.9,,0,,2021-12-23 00:00:00,,1,0,,1,,17295
Piano PP Joniec - onyx łupany,857,JONIEC,90,1.19,0.013222222222222,25,4,18,3,22.6,23.3,21.7,22.4,20.8,21.5,,0,,2021-12-23 00:00:00,,1,0,,,,17308
Piano PP Joniec - piryt łupany,858,JONIEC,90,1.19,0.013222222222222,25,4,18,3,22.6,23.3,21.7,22.4,20.8,21.5,,0,,2021-12-23 00:00:00,,1,0,,,,17309
Mogielica 20MN Joniec - onyx łupany,859,JONIEC,288,1.18,0.0040972222222222,4,24,3,1,3.8,4,3.7,3.9,3.5,3.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17329
Mogielica 20MN Joniec - bronzyt łupany,860,JONIEC,288,1.18,0.0040972222222222,4,24,3,1,3.8,4,3.7,3.9,3.5,3.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17330
Mogielica 20MN Joniec - czarny łupany,861,JONIEC,288,1.18,0.0040972222222222,4,24,3,1,3.8,4,3.7,3.9,3.5,3.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17331
Mogielica 20MN Joniec - piaskowy łupany,862,JONIEC,288,1.18,0.0040972222222222,4,24,3,1,3.8,4,3.7,3.9,3.5,3.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17332
Mogielica 20MN Joniec - piryt łupany,863,JONIEC,288,1.18,0.0040972222222222,4,24,3,1,3.8,4,3.7,3.9,3.5,3.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17333
Mogielica 20MN Joniec - vera łupany,864,JONIEC,288,1.18,0.0040972222222222,4,24,3,1,3.8,4,3.7,3.9,3.5,3.7,,0,,2021-12-23 00:00:00,,1,0,,1,,17334
Mogielica 60MP Joniec - onyx łupany,865,JONIEC,96,1.18,0.012291666666667,11,49,8,16,10.2,10.8,9.8,10.4,9.4,10,,0,,2021-12-23 00:00:00,,1,0,,1,,17374
Mogielica 60MP Joniec - bronzyt łupany,866,JONIEC,96,1.18,0.012291666666667,11,49,8,16,10.2,10.8,9.8,10.4,9.4,10,,0,,2021-12-23 00:00:00,,1,0,,1,,17375
Mogielica 60MP Joniec - czarny łupany,867,JONIEC,96,1.18,0.012291666666667,11,49,8,16,10.2,10.8,9.8,10.4,9.4,10,,0,,2021-12-23 00:00:00,,1,0,,1,,17376
