Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid,,
Krawężnik drogowy 12x25x100,35,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4624,,
Lira 100x25x4cm,36,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4630,,
Lira 75x25x4cm,37,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4631,,
Magna 50x75x8cm,38,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4632,,
Murek Grando 30x15 3stronny Polbruk,39,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4634,,
Stopień Grando Łamany 40x100x15,40,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4635,,
Napoli 6cm,41,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4636,,
Prostokąt Polbruk 8cm,42,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4734,,
Pustak GU+GA łupany 38x22x16,43,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4748,,
Urbanika,44,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4759,,
Urbanika 60,45,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4762,,
Lumia świecąca,46,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4763,,
Extrano,47,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4765,,
Metrik,48,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4766,,
Linea Trawertyn 100x25x4cm,49,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4767,,
Palisada Hestra 100cm,50,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4768,,
Łącznik ogrodzeniowy ŁSO,51,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4797,,
Pustak murkowy GMD Joniec 38x38x16,52,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4804,,
Pustak słupkowy GUD+GAD Joniec 38x38x16,53,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4809,,
Pustak murkowy GMDM Joniec 38x38x8,54,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4811,,
ROMA Classic BRDM Joniec,55,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4845,,
ROMA Classic BRSM Joniec,56,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4846,,
ROMA Classic BRMM Joniec,57,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4847,,
Daszek CSBNR Joniec 45x28x6,58,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4853,,
Daszek CBG Joniec 24x28x6,59,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4854,,
Daszek CPGS Joniec 43x27x6,60,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4857,,
Daszek CPGM Joniec 50x27x6,61,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4858,,
Daszek ROMA CRDM Joniec 36x36x5,62,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4908,,
Daszek ROMA CRSM Joniec 50x20x20,63,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4909,,
Daszek ROMA CRMM Joniec,64,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4910,,
RIBENA 60x60x4 kolor,65,KOST-BET,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,5866,,
Avanti - brązowy płukany,66,POLBRUK,9.86,1.3,0.13184584178499,97,42,47,36,58.8,61.5,53.1,55.8,50.3,53,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6549
Avanti - ciemnoszary płukany,67,POLBRUK,9.86,1.3,0.13184584178499,97,42,47,36,58.8,61.5,53.1,55.8,50.3,53,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6550
Avanti - czerwony płukany,68,POLBRUK,9.86,1.3,0.13184584178499,97,42,47,36,58.8,61.5,53.1,55.8,50.3,53,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6551
Avanti - grafitowy płukany,69,POLBRUK,9.86,1.3,0.13184584178499,97,42,47,36,58.8,61.5,53.1,55.8,50.3,53,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6552
Avanti - szary płukany,70,POLBRUK,9.86,1.3,0.13184584178499,97,42,47,36,58.8,61.5,53.1,55.8,50.3,53,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6572
Avanti - żółty płukany,71,POLBRUK,9.86,1.3,0.13184584178499,97,42,47,36,58.8,61.5,53.1,55.8,50.3,53,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6573
Multicomplex - latte,72,POLBRUK,12,1.58,0.13166666666667,81,18,43,67,54.2,56.4,49,51.2,46.3,48.5,,0,,2021-12-23 00:00:00,,1.2,0,,1,1,6700
